state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,fs_pin,fs_targeted,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,conflict_score,fatalities,area_sown_acres,population_density,flood_prob,flood_count,beneficiaries_2021,partners_2021,ben_6_months,not_in_6months,conflict_ranking,flood_ranking,fs_pin_ranking,fs_target_ranking,fs_pin_pc,pin_pop,group
Tanintharyi,MMR006,Myeik,Myeik,MMR006005,302183.2957380707,73128,10968.746370572688,0,4,7,16,6,0.06126264565483513,15,43641,233.98489379872564,0.13333333333333333,2,0,0,NA,1,100,8,39,73,0.00553058578158751,0.2419988167161516,A2
Tanintharyi,MMR006,Myeik,Kyunsu,MMR006006,182435.48113600473,44149,6621.592059895221,0,0,0,2,1,0.00304617958028404,0,13411,54.784275357139016,0,NA,0,0,NA,1,279,10,112,104,0.00333893763908909,0.24199788179957793,B2
Tanintharyi,MMR006,Myeik,Palaw,MMR006007,138077.08199467565,33964,5095.369450381044,14,4,0,8,12,0.0548517501801714,43,42144,54.111723121895075,0.13333333333333333,2,145,1,145,0,109,8,150,123,0.002568657907857978,0.2459785469779096,B2
Tanintharyi,MMR006,Myeik,Tanintharyi,MMR006008,113498.91102819465,27467,4119.989529703143,3,3,0,3,5,0.02257064619055196,17,34285,9.410820313834414,0.26666666666666666,4,0,0,NA,1,174,6,200,143,0.002077297337037306,0.2420023218828666,B2
Yangon,MMR013,Yangon (East),Thingangyun,MMR013009,243788.8109873174,68261.25,68261.13292380996,1,25,8,14,5,0.08638945636230308,22,NA,15966.138700133255,0.13333333333333333,2,0,0,NA,1,70,8,50,14,0.00516251912650955,0.28000157071831794,A1
Yangon,MMR013,Yangon (East),Yankin,MMR013010,82563.23088085231,23117.5,23118.295357134808,0,10,4,8,2,0.03807505005860235,2,NA,14807.667801328658,0.13333333333333333,2,0,0,NA,1,138,8,225,42,0.001748349699237628,0.2799975213344189,B1
Yangon,MMR013,Yangon (East),South Okkalapa,MMR013011,187509.9813789108,52502.5,52503.20521470707,0,20,9,8,6,0.07766886499724103,3,NA,19606.87546613909,0.13333333333333333,2,0,0,NA,1,77,8,86,21,0.003970703150609866,0.2799984278911829,A1
Yangon,MMR013,Yangon (East),North Okkalapa,MMR013012,387868.8990213952,108603.75,108602.70827479297,3,13,9,8,9,0.08249063158274214,21,NA,12008.243092949193,0.2,3,255380,7,255380,0,75,7,10,4,0.008213575587696703,0.2800011815178028,A1
Yangon,MMR013,Yangon (East),Thaketa,MMR013013,256671.4959286959,71867.5,71867.9811399701,4,21,19,14,12,0.1467290550686598,20,NA,16400.60840215547,0.13333333333333333,2,0,0,NA,1,40,8,42,13,0.005435255629283453,0.27999797850543173,A1
Yangon,MMR013,Yangon (East),Dawbon,MMR013014,87659.28122938855,24545,24545.401262330946,0,6,3,4,5,0.03157877205541812,4,NA,24206.405876989902,0.13333333333333333,2,0,0,NA,1,152,8,217,41,0.0018563098677533288,0.2800045774476539,B1
